record_id,airport_name,altitude_bin,aircraft_model,wildlife_number_struck_actual,effect_impact_to_flight,flight_date,effect_indicated_damage,aircraft_airline,origin_state,phase_of_flight,conditions_precipitation,conditions_sky,wildlife_species,pilot_warned_of_wildlife,total_cost,feet_above_ground
228659,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,EMB-145,1,none,2004-10-21,No damage,MESA AIRLINES,North Carolina,Approach,none,Overcast,Unknown bird - small,N,0,100.0
225508,SALINAS MUNICIPAL ARPT,< 1000 ft,PA-28,1,Precautionary Landing,2004-10-21,No damage,PRIVATELY OWNED,California,Climb,none,No Cloud,Rock pigeon,N,0,200.0
230165,PORTLAND INTL (OR),> 1000 ft,B-737-800,1,none,2004-10-21,No damage,DELTA AIR LINES,Oregon,Climb,Rain,Overcast,Unknown bird - medium,N,0,7000.0
229632,HONOLULU INTL ARPT,< 1000 ft,B-717-200,1,none,2004-10-22,No damage,HAWAIIAN AIR,Hawaii,Climb,none,No Cloud,Pacific golden-plover,N,0,10.0
222887,SALT LAKE CITY INTL,< 1000 ft,CL-RJ100/200,1,none,2004-10-22,No damage,SKYWEST AIRLINES,Utah,Approach,none,Some Cloud,Unknown bird - small,N,0,300.0
229393,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,> 1000 ft,A-300,1,none,2004-10-22,No damage,ASTAR AIR CARGO,Kentucky,Approach,none,No Cloud,Unknown bird - small,N,54,1200.0
226995,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,> 1000 ft,B-727-200,1,none,2004-10-22,No damage,ASTAR AIR CARGO,Kentucky,Approach,none,No Cloud,Unknown bird - small,N,54,1700.0
225022,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,> 1000 ft,SA226 TC,1,none,2004-10-22,No damage,SUPERIOR AVIATION,Kentucky,Approach,none,Overcast,Unknown bird - medium,Y,0,2500.0
230636,CLEVELAND-HOPKINS INTL ARPT,< 1000 ft,DORNIER 328J,1,none,2004-10-22,No damage,SKYWAY AIRLINES,Ohio,Take-off run,none,Some Cloud,Coyote,Y,0,0.0
228368,SALT LAKE CITY INTL,< 1000 ft,CL-RJ100/200,1,none,2004-10-22,No damage,SKYWEST AIRLINES,Utah,Take-off run,none,Some Cloud,American kestrel,N,0,0.0
